11 ,0 
11 ,0 
6 ,0 
6 ,0 
6 ,0 
6 ,0 
6 ,0 
6 ,0 
6 ,0 
5 ,0 
5 ,0 
5 ,0 
4 ,0 
